#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
78,ASUS ROG Crosshair VI HERO (WI-FI AC,ATX,AM4,DDR4,64.0,149.99,X370,ASUS,4,1.0,0.0,8.0,1.0,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/918573bf9d925e5a1a502dc355dfce8a.256p.jpg
79,ASUS ROG Crosshair VIII Hero,ATX,AM4,DDR4,128.0,339.99,X570,ASUS,4,2.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,0,4,https://cdna.pcpartpicker.com/static/forever/images/product/9b0c678ccf7522e6ad454d3976a2e174.256p.jpg
80,Asus ROG MAXIMUS IX HER,ATX,1151,DDR4,64.0,229,Z270,Asus,4,2.0,0.0,4.0,1.0,,,,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/bd930594ee70d733230e5813b9705713.256p.jpg
81,Asus ROG MAXIMUS X APE,E-ATX,1151,DDR4,32.0,203.99,Z370,Asus,2,,0.0,6.0,1.0,,,,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/80b32a9297a056829256eee2b79dd1be.256p.jpg
82,ASUS ROG MAXIMUS X HERO Wi-F,ATX,1151,DDR4,64.0,259.65,Z370,ASUS,4,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/16dd581ff37796dc1d495e5677fa4232.256p.jpg
83,ASUS ROG Maximus XI COD,ATX,1151,DDR4,64.0,349.99,Z390,ASUS,4,2.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/51GB8EH72GL.jpg
84,ASUS ROG Maximus XI Extreme,E-ATX,1151,DDR4,128.0,501.99,Z390,ASUS,4,4.0,0.0,,,,0.0,0.0,0.0,0.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/6a45961f93b08aa060b7aa30cdb2e2fc.256p.jpg
85,ASUS ROG Maximus XI FORMUL,ATX,1151,DDR4,64.0,379.99,Z390,ASUS,4,2.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/51Da8b0-5+L.jpg
86,Asus ROG RAMPAGE VI EXTREM,E-ATX,2066,DDR4,128.0,529.99,X299,Asus,8,1.0,0.0,8.0,,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/bae0fc57aca53db6a45f3c5cf0833ecc.256p.jpg
87,ASUS ROG Rampage VI Extreme OMEG,E-ATX,2066,DDR4,128.0,799,X299,ASUS,8,2.0,0.0,10.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/3eba93ceb2598cecf71489ab01b4f0dc.256p.jpg
88,Asus ROG STRIX B250G GAMIN,ATX,1151,DDR4,64.0,90.88,B250,Asus,4,2.0,0.0,2.0,,,,1.0,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/f6318e2df8e0ae409c9e8a832ca5507f.256p.jpg
89,ASUS ROG Strix B360-F Gamin,ATX,1151,DDR4,64.0,133.6,B360,ASUS,4,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/7572eeea96c79fbe15b9d03d0190b7ac.256p.jpg
90,ASUS ROG Strix B360-G Gamin,Micro-ATX,1151,DDR4,64.0,138,B360,ASUS,4,1.0,0.0,2.0,,,0.0,0.0,0.0,1.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/cfff498455e6d432e9d1d3520c4237c9.256p.jpg
91,Asus ROG STRIX B450-I GAMIN,Mini-ITX,AM4,DDR4,32.0,134.99,B450,Asus,2,2.0,0.0,4.0,,,,,,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/d16e04d394d588e9045d587653cad761.256p.jpg
92,ASUS ROG Strix B450-I Gaming,Mini-ITX,AM4,DDR4,32.0,134.99,B450,ASUS,2,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/d16e04d394d588e9045d587653cad761.256p.jpg
