#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
67,Gigabyte Aorus Radeon RX 6800 XT Master,4.0,Radeon RX 6800 XT,16,4608,16000,2310,1277.99,Gigabyte,324.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,,300,https://www.gigabyte.com/FileUpload/Global/KeyFeature/1685/innergigabyteimages/kf-img.png,TRUE,TRUE,FALSE,FALSE
68,Gigabyte GeForce GT 1030,3.0,GeForce GT 1030,2,384,6008,1468,109.99,Gigabyte,149.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,30,https://cdna.pcpartpicker.com/static/forever/images/product/80f174eea93a4a0981c63721c9a9805d.256p.jpg,FALSE,FALSE,TRUE,TRUE
69,Gigabyte GeForce GT 1030 Low Profile D4,3.0,GeForce GT 1030,2,384,2100,1379,63.99,Gigabyte,149.9,1.5,0.0,0.0,1.0,0.0,1.0,0.0,,30,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,FALSE,FALSE,TRUE,TRUE
70,Gigabyte GeForce GTX 1050,3.0,GeForce GTX 1050,2,640,7008,1455,119.99,Gigabyte,172.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/80f174eea93a4a0981c63721c9a9805d.256p.jpg,FALSE,FALSE,TRUE,TRUE
71,Gigabyte GeForce GTX 1050 OC,3.0,GeForce GTX 1050,2,640,7008,1468,129.99,Gigabyte,167.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,TRUE
72,Gigabyte GeForce GTX 1050 Ti OC,3.0,GeForce GTX 1050 Ti,4,768,7008,1417,169.99,Gigabyte,167.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
73,Gigabyte GeForce GTX 1050 Ti WindForce 2X OC,3.0,GeForce GTX 1050 Ti,4,768,7008,1442,189.99,Gigabyte,229.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,FALSE,FALSE,TRUE,FALSE
74,Gigabyte GeForce GTX 1070 Ti Aorus 8G,3.0,GeForce GTX 1070 Ti,8,2432,8008,1683,506.61,Gigabyte,280.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,180,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,FALSE,FALSE,TRUE,FALSE
75,Gigabyte GeForce GTX 1080 Ti Gaming OC Black,3.0,GeForce GTX 1080 Ti,11,3584,11010,1632,719.99,Gigabyte,280.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,G-Sync,250,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,TRUE,FALSE,FALSE,FALSE
76,Gigabyte GeForce GTX 1080 Ti Waterforce W Xtreme 11G,3.0,GeForce GTX 1080 Ti,11,3584,11232,1721,959.99,Gigabyte,266.7,2.5,2.0,0.0,0.0,0.0,0.0,0.0,G-Sync,250,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,TRUE,FALSE,FALSE,FALSE
77,Gigabyte GeForce GTX 1650 D6 WindForce OC,3.0,GeForce GTX 1650 (4GB),4,896,12000,1650,249.99,Gigabyte,191.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,75,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,FALSE,FALSE,TRUE,FALSE
