#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
91,Intel Core i3-4160,1150,157.73,Intel,3.6,0.0,2,4,54,Intel HD 4400,https://m.media-amazon.com/images/I/51+W6X4TdwL.jpg,FALSE,FALSE,FALSE,TRUE
92,Intel Core i3-4330,1150,121.88,Intel,3.5,0.0,2,4,54,Intel HD 4600,https://cdna.pcpartpicker.com/static/forever/images/product/6f2d6549675bef642a64f73eba890bd4.256p.jpg,FALSE,FALSE,FALSE,TRUE
93,Intel Core i3-6100,1151,114.99,Intel,3.7,0.0,2,4,47,Intel HD 530,https://m.media-amazon.com/images/I/41QOKLh7MiL.jpg,FALSE,FALSE,FALSE,TRUE
94,Intel Core i3-6100T,1151,126.34,Intel,3.2,0.0,2,4,35,,https://cdna.pcpartpicker.com/static/forever/images/product/21c42783caec96041a16f90517a85bca.256p.jpg,FALSE,FALSE,FALSE,TRUE
95,Intel Core i3-6300,1151,137.57,Intel,3.8,0.0,2,4,47,Intel HD 530,https://cdna.pcpartpicker.com/static/forever/images/product/658d653a249ceebe43a5968afb50ad77.256p.jpg,FALSE,FALSE,FALSE,TRUE
96,Intel Core i3-6320,1151,178.70,Intel,3.9,0.0,2,4,47,Intel HD 530,https://m.media-amazon.com/images/I/51m7931xzhL.jpg,FALSE,FALSE,FALSE,TRUE
97,Intel Core i3-7100,1151,129.99,Intel,3.9,0.0,2,4,51,Intel HD 630,https://m.media-amazon.com/images/I/41QBIqWIoCL.jpg,FALSE,FALSE,TRUE,TRUE
98,Intel Core i3-7100T,1151,135.99,Intel,3.4,0.0,2,4,35,,https://m.media-amazon.com/images/I/51ar56B-zyL.jpg,FALSE,FALSE,TRUE,TRUE
99,Intel Core i3-7300,1151,157.29,Intel,4.0,0.0,2,4,51,Intel HD 630,https://m.media-amazon.com/images/I/41L0lqyTYkL.jpg,FALSE,FALSE,TRUE,TRUE
100,Intel Core i3-7300T,1151,164.33,Intel,3.5,0.0,2,4,35,,https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,FALSE,FALSE,TRUE,TRUE
101,Intel Core i3-7320,1151,154.66,Intel,4.1,0.0,2,4,51,,https://m.media-amazon.com/images/I/51NQB9peGbL.jpg,FALSE,FALSE,TRUE,TRUE
102,Intel Core i3-7350K,1151,174.99,Intel,4.2,0.0,2,4,60,Intel HD 630,https://cdna.pcpartpicker.com/static/forever/images/product/f08ed44a8570ef813099b9b298a84d38.256p.jpg,FALSE,FALSE,TRUE,FALSE
103,Intel Core i3-8100,1151,119.99,Intel,3.6,0.0,4,4,65,Intel UHD 630,https://static/forever/img/no-image.png,FALSE,FALSE,TRUE,TRUE
104,Intel Core i3-8300,1151,147.00,Intel,3.7,0.0,4,4,62,,https://cdna.pcpartpicker.com/static/forever/images/product/5c92fd399303b10e4c5ea8015ec47f39.256p.jpg,FALSE,FALSE,TRUE,TRUE
105,Intel Core i3-8350K,1151,179.99,Intel,4.0,0.0,4,4,91,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/c96f59d30a42a70cb371b93507d7eea1.256p.jpg,TRUE,FALSE,TRUE,FALSE
106,Intel Core i3-9100,1151,109.99,,3.6,4.2,4,4,65,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/46badc31f619c275800a79476709e08f.256p.jpg,TRUE,FALSE,TRUE,FALSE
107,Intel Core i3-9100F,1151,72.99,Intel,3.6,4.2,4,4,65,,https://cdna.pcpartpicker.com/static/forever/images/product/0d74fb44f832ad674549787311aafa0f.256p.jpg,TRUE,FALSE,TRUE,FALSE
108,Intel Core i3-9300,1151,168.99,Intel,3.7,4.3,4,4,65,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/b1278728300f0159c35c67b39ea7ce46.256p.jpg,TRUE,FALSE,TRUE,TRUE
109,Intel Core i3-9350KF,1151,219.99,Intel,4.0,4.6,4,4,91,,https://cdna.pcpartpicker.com/static/forever/images/product/b832802a56c229f75ef6adf54fad250c.256p.jpg,TRUE,FALSE,TRUE,FALSE
110,Intel Core i5-10400,1200,141.73,Intel,2.9,4.3,6,12,65,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/c18ee131d4d211b2ad40882e5b997371.256p.jpg,TRUE,TRUE,TRUE,FALSE
111,Intel Core i5-10400F,1200,116.49,Intel,2.9,4.3,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,TRUE,TRUE,TRUE,FALSE
112,Intel Core i5-10500,1200,218.99,Intel,3.1,0.0,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/bc6d01e56cc2c1813982ca841d3e7ae1.256p.jpg,TRUE,TRUE,TRUE,FALSE
113,Intel Core i5-10600,1200,219.98,Intel,3.3,0.0,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/22517c4002202647d4d1906d37e43b48.256p.jpg,TRUE,TRUE,TRUE,FALSE
114,Intel Core i5-10600K,1200,203.97,Intel,4.1,4.8,6,12,125,Intel UHD 630,https://cdna.pcpartpicker.com/static/forever/images/product/cec5ee818776737baefc9603bdbf9391.256p.jpg,TRUE,TRUE,FALSE,FALSE
115,Intel Core i5-10600KF,1200,179.99,Intel,4.1,4.8,6,12,125,,https://cdna.pcpartpicker.com/static/forever/images/product/d28d05f1c9972e51ef212760baca9612.256p.jpg,TRUE,TRUE,FALSE,FALSE
